,2012,2013,2014,2015,2016,2017
7449116035,0,0,0,0,0,0
7450053439,0,0,0,3,2,2
7451109035,0,43,0,0,0,0
7451210660,2,2,0,0,0,0
7451336790,0,0,0,0,0,0
7451357119,0,0,0,0,0,0
7452023310,0,0,0,0,0,0
7452108860,0,0,0,0,0,0
7453093550,0,0,0,0,0,0
7453176020,0,0,0,0,0,0
7453214596,9,18,10,16,21,6
7453249045,0,0,0,0,0,0
7453255828,0,0,0,0,1,0
7453268150,0,1,19,30,21,6
7534016634,0,0,0,0,0,0
7601000022,0,0,0,3,3,0
7601000086,17,23,20,83,102,27
7601000632,0,0,0,5,3,2
7601001107,0,0,0,2,3,0
7601001724,2,2,2,4,5,2
7602012729,86,88,26,51,41,5
7602013169,4,6,4,6,10,2
7602050509,20,0,0,0,0,0
7602067326,0,0,0,0,0,0
7603038737,0,0,0,0,0,0
7604000870,2,1,3,0,0,0
7604059867,0,0,0,0,0,0
7604103820,0,0,0,0,0,0
7604107528,0,1,0,0,0,0
7604112020,0,0,0,0,0,0
7604116603,0,0,0,1,1,0
7604146816,0,0,0,0,0,0
7604147217,0,0,0,0,0,0
7604153718,0,0,0,0,0,0
7604155747,0,0,0,0,0,0
7604158410,0,0,0,0,0,0
7604183247,0,0,0,0,0,0
7604197641,0,0,0,0,0,0
7604236788,0,0,0,0,0,0
7605000714,0,0,0,0,0,0
7606004895,21,27,17,9,2,2
7606029071,0,0,0,1,0,0
7606035710,0,0,0,0,0,0
7606041801,2,3,0,8,2,0
7606044464,0,0,0,0,0,0
7606047440,0,0,0,0,0,0
7606047680,5,7,1,0,0,0
7606067341,0,0,2,3,3,1
7606074860,3,1,0,16,16,3
7607001248,0,0,0,1,0,0
7607026637,0,1,0,0,0,0
7609002208,34,44,40,21,35,13
7610073355,0,0,0,0,0,0
7611014987,0,0,0,0,0,0
7701027469,0,0,0,1,0,0
7701272975,48,68,61,92,86,21
7701742236,0,0,0,0,0,0
7702322731,19,10,7,8,2,0
7702369585,0,0,0,0,0,0
7703548428,0,0,0,0,0,0
7703647595,1,1,0,1,6,7
7703712332,0,0,0,6,27,10
7704211184,0,0,0,0,0,0
7704234791,0,0,0,0,0,0
7704653898,0,0,0,4,4,0
7704653986,0,0,0,0,0,0
7705033216,0,0,0,0,0,0
7705552243,0,0,0,0,0,0
7707491395,0,0,0,0,0,0
7708000762,0,0,0,0,0,0
7708029391,0,0,0,1,1,0
7708092700,0,0,0,0,0,0
7708583031,0,1,0,0,0,0
7708668912,0,0,0,0,0,0
7708700370,0,0,0,0,0,0
7709293582,0,0,0,0,0,0
7709312370,0,0,0,0,0,0
7709654180,0,0,0,0,0,0
7710234091,0,0,0,0,0,0
7710290762,0,0,0,0,0,0
7710573337,0,0,0,0,0,0
7710863854,0,1,0,0,0,0
7710944278,0,0,0,0,0,0
7713798113,0,0,0,1,0,0
7714290940,0,0,1,1,0,0
7714840537,0,0,0,0,0,0
7714947625,1,0,5,6,6,3
7715825806,0,11,410,536,715,434
7715952113,0,0,0,0,0,0
7718570680,0,0,0,0,0,0
7719802912,0,1,0,0,0,0
7720738588,0,0,0,0,0,0
7721040281,4,8,0,16,23,4
7721077517,0,0,0,0,0,0
7721833837,0,0,0,0,0,0
7722614500,0,0,0,0,0,0
7723908830,0,0,0,0,0,0
7724638552,0,0,0,0,0,0
7724672031,0,0,0,0,0,0
7726518155,0,0,0,0,0,0
7727651329,0,0,0,0,0,0
7728307368,0,1,0,1,0,0
7728810395,0,0,0,0,0,0
7729144853,0,0,0,0,0,0
7730171410,0,0,0,0,0,0
7730172943,0,0,0,0,0,0
7730512974,5,0,1,0,0,0
7730565447,10,19,1,1,5,0
7730627076,0,0,0,0,0,0
7731280660,0,0,0,0,3,1
7731507906,0,2,2,2,0,0
7731570714,0,0,0,0,0,0
7731650014,0,0,0,1,1,0
7734690939,0,1,12,62,95,24
7736540833,0,0,1,24,10,0
7740000090,6,15,3,53,89,34
7743064487,0,0,0,0,0,0
7743751480,0,0,0,0,0,0
7801390690,0,0,0,0,0,0
